entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_publicacion_fase_2,fecha_de_apertura_efectiva,fecha_adjudicacion,fecha_de_publicacion
EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DE LA CANDELARIA,890981719,No Definido,No Definido,Territorial,Centralizada,CO1.REQ.8485219,CPS149-2025,700740053,CO1.BDOS.8334818,AUXILIAR DE ENFERMERIA EBS SAN VICENTE FERRER RURAL,AUXILIAR DE ENFERMERIA EBS SAN VICENTE FERRER RURAL,Presentación de oferta,2025-06-29T00:00:00.000,2025-06-29T00:00:00.000,2025-06-29T00:00:00.000,9000000,Contratación régimen especial,Regla aplicable,3,Mes(es),Guarne,ESE HOSPITAL NUESTRA SEÑORA DE LA CANDELARIA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.93131700,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8356610'},700740053,Presentación de oferta,,,,,,
DIRECCION DE TRANSITO DE BUCARAMANGA,890204109,Santander,Bucaramanga,Territorial,Descentralizada,CO1.REQ.8430476,CPS-DTB-285-2025,700712011,CO1.BDOS.8281814,PRESTACION DE SERVICIOS PROFESIONALES,"PRESTAR SERVICIOS PROFESIONALES COMO ABOGADO ESPECIALIZADO EN 
LA OFICINA DE TALENTO HUMANO DE LA DIRECCIÓN DE TRÁNSITO DE 
BUCARAMANGA",Presentación de oferta,2025-06-17T00:00:00.000,2025-06-17T00:00:00.000,2025-06-17T00:00:00.000,27500000,Contratación directa,Servicios profesionales y apoyo a la gestión,5,Mes(es),Bucaramanga,OFICINA ASESORA DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8303702'},700712011,Presentación de oferta,,,,,,
E.S.E. HOSPITAL REGIONAL SUR ORIENTAL,807008827,Norte de Santander,Chinácota,Territorial,Centralizada,CO1.REQ.10646397,OPS 0582-2026,700620024,CO1.BDOS.10464067,PRESTACIÓN DE SERVICIOS PROFESIONALES EN EL ÁREA DE SALUD CORRESPONDIENTE A LA ESPECIALIDAD DE PEDIATRÍA PARA LA E.S.E HOSPITAL REGIONAL SUR ORIENTAL,PRESTACIÓN DE SERVICIOS PROFESIONALES EN EL ÁREA DE SALUD CORRESPONDIENTE A LA ESPECIALIDAD DE PEDIATRÍA PARA LA E.S.E HOSPITAL REGIONAL SUR ORIENTAL,Presentación de oferta,2026-07-12T00:00:00.000,2026-07-12T00:00:00.000,2026-07-12T00:00:00.000,3136000,Contratación régimen especial,Regla aplicable,1,Mes(es),Chinácota,CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10501167'},700620024,Presentación de oferta,,,,,,
SUBRED INTEGRADA DE SERVICIO DE SALUD CENTRO ORIENTE E.S.E 1,900959051,Distrito Capital de Bogotá,No Definido,Territorial,Descentralizada,CO1.REQ.433905,PS 4018 2018,702769076,CO1.BDOS.420705,PRESTAR SERVICIOS COMO HIGIENISTA ORAL,"PRESTAR SUS SERVICIOS DE APOYO DE MANERA PERSONAL Y AUTÓNOMA, EN SU CONDICIÓN DE TÉCNICO EN HIGIENE ORAL  PARA LA EJECUCIÓN DE ACTIVIDADES ASISTENCIALES EN LOS DIFERENTES PROCESOS Y CONFORME A LAS NECESIDADES DE LA SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E",Presentación de oferta,2018-05-16T00:00:00.000,2018-05-16T00:00:00.000,2018-05-16T00:00:00.000,1569344,Contratación régimen especial,Regla aplicable,1,Mes(es),Bogotá,CONTRATACION OPS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.422756'},702769076,Presentación de oferta,,,,,,
CONCEJO DISTRITAL DE CARTAGENA DE INDIAS,806000199,Bolívar,Cartagena,Territorial,Descentralizada,CO1.REQ.6532880,C360-2024,704443167,CO1.BDOS.6406864,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN EN LA  DIRECCION ADMINISTRATIVA,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN EN LA  DIRECCION ADMINISTRATIVA,Presentación de oferta,2024-07-18T00:00:00.000,2024-07-18T00:00:00.000,2024-07-18T00:00:00.000,6000000,Contratación directa,Servicios profesionales y apoyo a la gestión,3,Mes(es),Cartagena,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6418299'},704443167,Presentación de oferta,,,,,,
CORPORACION AUTONOMA REGIONAL DE RISARALDA,891410354,Risaralda,Pereira,Corporación Autónoma,Centralizada,CO1.REQ.9599017,CARDER CPS 356-2026,702481052,CO1.BDOS.9430785,PRESTACION DE SERVICIOS PROFESIONALES,"Prestar servicios profesionales a la CARDER en las etapas de
preproducción, producción y posproducción de contenido audiovisual, con el fin de fortalecer
la estrategia de comunicación institucional y apoyar la divulgación de los asuntos ambientales
de la entidad.",Presentación de oferta,2026-01-13T00:00:00.000,2026-01-13T00:00:00.000,2026-01-13T00:00:00.000,21000000,Contratación directa,Servicios profesionales y apoyo a la gestión,6,Mes(es),Pereira,GESTIÓN CONTRACTUAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.82101600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9489247'},702481052,Presentación de oferta,,,,,,
FONDO FINANCIERO DISTRITAL DE SALUD..,8002469532,Distrito Capital de Bogotá,No Definido,Territorial,Centralizada,CO1.REQ.9282986,FFDS-CD-3755-2025,701993388,CO1.BDOS.9117670,Prestar servicios como Técnico Auxiliar de Enfermería; Técnico o Tecnólogo de Atención Prehospitalaria en la Subdirección Centro Regulador de Urgencias y Emergencias; con el fin de gestionar los event,"Prestar servicios como Técnico Auxiliar de Enfermería, Técnico o Tecnólogo de Atención Prehospitalaria en la Subdirección Centro Regulador de Urgencias y Emergencias, con el fin de gestionar los eventos en salud transferidos desde la línea de Emergencias 123 o través de los mecanismos establecidos, en el marco del Sistema de Emergencias Médicas y el modelo de atención en salud.",Presentación de oferta,2025-11-17T00:00:00.000,2025-11-17T00:00:00.000,2025-11-17T00:00:00.000,29428200,Contratación directa,Servicios profesionales y apoyo a la gestión,245,día(s),Bogotá,SUBDIRECCION DE CONTRATACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111500,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9143001'},701993388,Presentación de oferta,,,,,,
Instituto Municipal de Cultura y Turismo de Bucaramanga,890204594,Santander,Bucaramanga,Territorial,Centralizada,CO1.REQ.3593123,IMCT-0554-04-2022,702166430,CO1.BDOS.3500485,PRESTAR SERVICIOS ESPECIALIZADOS,"PRESTAR SUS SERVICIOS ESPECIALIZADOS PARA DESARROLLAR UNA CÁTEDRA Y LABORATORIO PRESENCIAL DE PATRIMONIO AUDIOVISUAL QUE CONSISTE EN PRÁCTICAS DE ALMACENAMIENTO, CONSERVACIÓN, PROMOCIÓN, RESTAURACIÓN, APROPIACIÓN SOCIAL Y TRANSMISIÓN DE LOS OFICIOS DEL CINE QUE SE ENCAMINEN A LA RECUPERACIÓN DEL PATRIMONIO FÍLMICO Y AUDIOVISUAL LOCAL, Y UNA MUESTRA DE PATRIMONIO FÍLMICO DE OCHO PELÍCULAS DE INTERÉS DEL PATRIMONIO AUDIOVISUAL UNIVERSAL, NACIONAL Y LOCAL DIRIGIDAS A CUARENTA Y CINCO (45) PERSONAS",Presentación de oferta,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,2022-11-09T00:00:00.000,30000000,Contratación directa,Contratos o convenios Interadministrativos (valor cero),35,día(s),No Aplica,Oficina Asesora Juridica,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.93141707,Abierto,Otro,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3507171'},702166430,Presentación de oferta,,,,,,
EMPRESA COLOMBIANA DE PETROLEOS,899999068,Distrito Capital de Bogotá,Bogotá,Nacional,Descentralizada,CO1.REQ.5053954,ME Doc816472430,709072474,CO1.BDOS.4943765,SERVICIOS DE LICENCIAMIENTO; CONCEPTUALIZACIÓN; PLANEACIÓN;  DESARROLLO; IMPLEMENTACIÓN; ESTABILIZACIÓN; MIGRACIÓN;  ADMINISTRACIÓN; OPERACIÓN; SOPORTE Y MANTENIMIENTO DE UNA  SOLUCIÓN TECNOLÓGICA,"SERVICIOS DE LICENCIAMIENTO, CONCEPTUALIZACIÓN, PLANEACIÓN, 
DESARROLLO, IMPLEMENTACIÓN, ESTABILIZACIÓN, MIGRACIÓN, 
ADMINISTRACIÓN, OPERACIÓN, SOPORTE Y MANTENIMIENTO DE UNA 
SOLUCIÓN TECNOLÓGICA QUE PERMITA CUSTODIAR LAS CUENTAS 
PRIVILEGIADAS HUMANAS Y NO HUMANAS DE ECOPETROL Y GRUPO 
EMPRESARIAL  TIER 2",Presentación de oferta,2023-09-13T00:00:00.000,2023-09-13T00:00:00.000,2023-09-13T00:00:00.000,0,Contratación régimen especial,Regla aplicable,23,día(s),Bogotá,Operacion de Abastecimiento Regional,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.43231512,Abierto,Otro,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4952942'},709072474,Presentación de oferta,,,,,,
CENTRAL ADMINISTRATIVA Y CONTABLE-CENAC-POPAYAN*,900156335,Cauca,Popayán,Nacional,Centralizada,CO1.REQ.4621687,SAMC-003-CENAC REGIONAL POPAYÁN 2023 (Manifestación de interés (Menor Cuantía)),702939109,CO1.BDOS.4473740,SAMC-003-CENAC REGIONAL POPAYÁN 2023 (Manifestación de interés (Menor Cuantía)),"PRESTACION DE SERVICIOS DE MANO OBRA CALIFICADA PARA EL PROYECTO DE MANTENIMIENTO MAYOR DE LOS ALOJAMIENTOS DE TROPA TIPO  U  EN EL BATALLÓN DE APOYO Y SERVICIO PARA EL COMBATE Nº29, QUE SE EJECUTARA EN LA VIGENCIA 2023",Manifestación de interés (Menor Cuantía),2023-06-05T00:00:00.000,2023-06-05T00:00:00.000,,174858000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,7,Mes(es),No Aplica,CENTRAL ADMINISTRATIVA Y CONTABLE REGIONAL POPAYAN,0,0,29,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111618,Cerrado,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4526002'},702939109,Manifestación de interés (Menor Cuantía),2023-06-22T00:00:00.000,2023-06-22T00:00:00.000,,2023-06-22T00:00:00.000,,2023-06-05T00:00:00.000
INSTITUTO DE DEPORTES Y RECREACION DE MEDELLIN,800194096,Antioquia,Medellín,Territorial,Centralizada,CO1.REQ.9804745,6700047313,700774011,CO1.BDOS.9636982,PRESTAR LOS SERVICIOS DE APOYO A LA GESTIÓN COMO FORMADOR (A) PROFESIONAL 2; DEL PROYECTO ESCUELAS POPULARES DEL DEPORTE DE LA SUBDIRECCIÓN DE FOMENTO DEPORTIVO Y RECREATIVO DEL INDER DE MEDELLÍN,"PRESTAR LOS SERVICIOS DE APOYO A LA GESTIÓN COMO FORMADOR (A) PROFESIONAL 2, DEL PROYECTO ESCUELAS POPULARES DEL DEPORTE DE LA SUBDIRECCIÓN DE FOMENTO DEPORTIVO Y RECREATIVO DEL INDER DE MEDELLÍN",Presentación de oferta,2026-01-20T00:00:00.000,2026-01-20T00:00:00.000,2026-01-20T00:00:00.000,21870980,Contratación directa,Servicios profesionales y apoyo a la gestión,141,día(s),Medellín,INDER MEDELLIN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.86101808,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9651139'},700774011,Presentación de oferta,,,,,,
INDEPORTES CUNDINAMARCA,900294884,Distrito Capital de Bogotá,No Definido,Territorial,Descentralizada,CO1.REQ.6596875,CPS-0433-2024,702192030,CO1.BDOS.6471268,ANDRES FELIPE CASTILLO LATORRE,"PRESTACION DE SERVICIOS PROFESIONALES COMO ENTRENADOR PARA EL DEPORTE DE ALTO RENDIMIENTO Y COMPETITIVO EN EL DEPORTE O MODALIDAD ASIGNADA, PARA EL CUMPLIMIENTO DE LAS METAS DEL INSTITUTO DEPARTAMENTAL PARA LA RECREACION Y EL DEPORTE CUNDINAMARCA, EN EL MARCO DEL PLAN DE DESARROLLO DEPARTAMENTAL",Presentación de oferta,2024-08-01T00:00:00.000,2024-08-01T00:00:00.000,2024-08-01T00:00:00.000,18133333,Contratación directa,Servicios profesionales y apoyo a la gestión,136,día(s),Bogotá,OFICINA JURÍDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6481090'},702192030,Presentación de oferta,,,,,,
CORPORACION AUTONOMA REGIONAL DEL MAGDALENA,800099287,Magdalena,Santa Marta,Corporación Autónoma,Centralizada,CO1.REQ.2770903,CD 060 DE 2022,703876458,CO1.BDOS.2695543,PRESTACION DE SERVICIOS PROFESIONALES DE APYO A LA SUBDIRECCION DE GESTION AMBIENTAL DE CORPAMAG,"Prestar los servicios profesionales de apoyo jurídico a la Subdirección de Gestión Ambiental de CORPAMAG en la proyección de autos de trámite, actos administrativos y respuesta a requerimientos y peticiones en general de conformidad con la Ley 1437 de 2011, Ley 1333 de 2009, Decreto 2811 de 1974 y Decreto 1076 de 2015.",Fase de ofertas,2022-01-24T00:00:00.000,2022-01-24T00:00:00.000,2022-01-24T00:00:00.000,24000000,Contratación directa,Servicios profesionales y apoyo a la gestión,6,Mes(es),Santa Marta,GRUPO CONTRATOS CORPAMAG,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.77101706,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2697270'},703876458,Fase de ofertas,,,,,,
ALCALDÍA DE VILLAGARZON,800054249,Putumayo,Villagarzón,Territorial,Descentralizada,CO1.REQ.6134896,SEM-CD-006-2024,708723937,CO1.BDOS.6015939,prestacion de servicios apoyo a la gestion,"PRESTACION DE SERVICIOS COMO INSTRUCTOR DE BANDAS MUSICO MARCIALES EN EL MARCO DEL PROYECTO DENOMINADO APOYO A LA PROMOCION Y ACCESOS EFECTIVOS A PTOCESOS CULTURALES Y ARTISITICOS EN EL MUNICIPIO DE VILLAGARZON, DEPARTAMENTO DEL PUTUMAYO",Presentación de oferta,2024-04-23T00:00:00.000,2024-04-23T00:00:00.000,2024-04-23T00:00:00.000,5298000,Contratación directa,Servicios profesionales y apoyo a la gestión,3,Mes(es),Villagarzón,CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6023467'},708723937,Presentación de oferta,,,,,,
ICBF REGIONAL NARIÑO,899999239,Nariño,No Definido,Nacional,Centralizada,CO1.REQ.7440418,ICBF-CPS-52000772025-NAR,704150028,CO1.BDOS.7304317,CONTRATO PRESTACIÓN DE SERVICIOS PROFESIONALES,PRESTAR SERVICIOS PROFESIONALES PARA APOYAR JURÍDICAMENTE AL DEFENSOR (A) DE FAMILIA EN LOS TRAMITES PARA LA GARANTÍA Y RESTABLECIMIENTO DE DERECHOS DE NIÑOS NIÑAS Y ADOLESCENTES EN EL MARCO DEL FORTALECIMIENTO Y DESCONGESTIÓN DE LAS DEFENSORÍAS DE FAMILIA,Presentación de oferta,2025-01-11T00:00:00.000,2025-01-11T00:00:00.000,2025-01-11T00:00:00.000,31843704,Contratación directa,Servicios profesionales y apoyo a la gestión,230,día(s),Pasto,ICBF REGIONAL NARIÑO,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7320389'},704150028,Presentación de oferta,,,,,,
INSTITUTO DE TRANSITO Y TRANSPORTE DE CHARALA.,804015993,Santander,Charalá,Territorial,Centralizada,CO1.REQ.9548791,CD005-2026,704322783,CO1.BDOS.9380600,CONTRATO DE PRESTACION DE SERVICIOS DE APOYO A LA GESTION,No definido,Presentación de oferta,2026-01-06T00:00:00.000,2026-01-06T00:00:00.000,2026-01-06T00:00:00.000,8449600,Contratación régimen especial,Decreto 092 de 2017,4,Mes(es),No Aplica,ELSA PATRICIA MONSALVE CRUZ,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111601,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9395179'},704322783,Presentación de oferta,,,,,,
DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,890399029,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.3861247,1.120.40-12.14-0097-2023,707720215,CO1.BDOS.3765581,PRESTACIÓN DE SERVICIOS PROFESIONALES,"PRESTACIÓN DE SERVICIOS PROFESIONALES COMO ECONOMISTA EN LA UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS, RENTAS Y GESTIÓN TRIBUTARIA DEL DEPARTAMENTO DEL VALLE DEL CAUCA EN CUMPLIMIENTO DEL PROYECTO DE INVERSION: FORTALECIMIENTO DE LA GESTIÓN TRIBUTARIA DEL DEPARTAMENTO DEL VALLE DEL CAUCA.",Fase de ofertas,2023-01-17T00:00:00.000,2023-01-17T00:00:00.000,2023-01-17T00:00:00.000,13200000,Contratación directa,Servicios profesionales y apoyo a la gestión,4,Mes(es),No Aplica,UNIDAD DE RENTAS / GOBERNACION DEL VALLE,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,V180111500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3776920'},707720215,Fase de ofertas,,,,,,
E.S.E. HOSPITAL SANTANDER HERRERA,819002025,Magdalena,Pivijay,Territorial,Centralizada,CO1.REQ.6830327,1992-2024,704357722,CO1.BDOS.6702556,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR DE ENFERMERÍA DE LA ESE,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR DE ENFERMERÍA DE LA ESE,Presentación de oferta,2024-09-12T00:00:00.000,2024-09-12T00:00:00.000,2024-09-12T00:00:00.000,1800000,Contratación régimen especial,Decreto 092 de 2017,1,Mes(es),Pivijay,Oficina jurídica y contratación,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6711784'},704357722,Presentación de oferta,,,,,,
SISTEMA ESTRATEGICO DE TRANSPORTE PUBLICO DE SANTA MARTA S.A.S.,900342579,Magdalena,Santa Marta,Territorial,Centralizada,CO1.REQ.3187902,OPS323-2022,710121666,CO1.BDOS.3102994,PRESTACIÓN DE SERVICIÓS,"Prestar por sus propios medios, con plena autonomía técnica, administrativa y operacional, sus servicios para apoyar a la actualización de inventarios, plaqueteo y avalúo general de activos fijos, para el Area de Gestión Administrativa y Financiera del Sistema Estratégico de Transporte Público de Santa Marta.",Fase de ofertas,2022-08-03T00:00:00.000,2022-08-03T00:00:00.000,2022-08-03T00:00:00.000,6208000,Contratación directa,Servicios profesionales y apoyo a la gestión,2,Mes(es),No Aplica,GESTIÓN JURÍDICA Y CONTRATACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3105233'},710121666,Fase de ofertas,,,,,,
ICBF REGIONAL CHOCO,899999239,Chocó,No Definido,Nacional,Centralizada,CO1.REQ.9479521,ICBF-ARRENDAMIENTO-246880-2025-CHO,704142603,CO1.BDOS.9310454,ARRENDAMIENTO INMUEBLE PARA  GARANTIZAR EL FUNCIONAMIENTO DEL CENTRO ZONAL QUIBDO PERTENECIENTE A ESTA REGIONAL,"ARRENDAR A FAVOR DEL ICBF REGIONAL CHOCÓ EL SEGUNDO PISO DEL BIEN INMUEBLE IDENTIFICADO CON MATRICULA INMOBILIARIA No. 180-36458 DE LA OFICINA DE REGISTRO DE INSTRUMENTOS PÚBLICOS DE QUIBDÓ, QUE SE ENCUENTRA UBICADO EN LA CARRERA 7 No. 26 - 50 BARRIO ALAMEDA REYES DE LA CIUDAD DE QUIBDÓ, PARA GARANTIZAR EL FUNCIONAMIENTO DEL CENTRO ZONAL QUIBDO PERTENECIENTE A ESTA REGIONAL",Presentación de oferta,2025-12-26T00:00:00.000,2025-12-26T00:00:00.000,2025-12-26T00:00:00.000,148794889,Contratación directa,Arrendamiento de inmuebles,182,día(s),Quibdó,ICBF REGIONAL CHOCO,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80131502,Abierto,Arrendamiento de inmuebles,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9336200'},704142603,Presentación de oferta,,,,,,
GOBERNACIÓN DE RISARALDA**,891480085,Risaralda,Pereira,Territorial,Centralizada,CO1.REQ.9706998,SI-CDPS-64-2026,702280165,CO1.BDOS.9539938,PRESTACION DE SERVICIOS PROFESIONALES PARA EL FORTALECIMIENTO ADMINISTRATIVO DE LA SECRETARÍA DE INFRAESTRUCTURA DEL DEPARTAMENTO DE RISARALDA,PRESTACION DE SERVICIOS PROFESIONALES PARA EL FORTALECIMIENTO ADMINISTRATIVO DE LA SECRETARÍA DE INFRAESTRUCTURA DEL DEPARTAMENTO DE RISARALDA,Presentación de oferta,2026-01-16T00:00:00.000,2026-01-16T00:00:00.000,2026-01-16T00:00:00.000,22296000,Contratación directa,Servicios profesionales y apoyo a la gestión,6,Mes(es),Pereira,SECRETARIA DE INFRAESTRUCTURA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9554270'},702280165,Presentación de oferta,,,,,,
GOBERNACIÓN DE RISARALDA**,891480085,Risaralda,Pereira,Territorial,Centralizada,CO1.REQ.9706998,SI-CDPS-64-2026,702280165,CO1.BDOS.9539938,PRESTACION DE SERVICIOS PROFESIONALES PARA EL FORTALECIMIENTO ADMINISTRATIVO DE LA SECRETARÍA DE INFRAESTRUCTURA DEL DEPARTAMENTO DE RISARALDA,PRESTACION DE SERVICIOS PROFESIONALES PARA EL FORTALECIMIENTO ADMINISTRATIVO DE LA SECRETARÍA DE INFRAESTRUCTURA DEL DEPARTAMENTO DE RISARALDA,Presentación de oferta,2026-01-16T00:00:00.000,2026-01-16T00:00:00.000,2026-01-16T00:00:00.000,22296000,Contratación directa,Servicios profesionales y apoyo a la gestión,6,Mes(es),Pereira,SECRETARIA DE INFRAESTRUCTURA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9554270'},702280165,Presentación de oferta,,,,,,
