id_del_proceso,entidad,departamento_entidad,ciudad_entidad,ordenentidad,modalidad_de_contratacion,tipo_de_contrato,codigo_principal_de_categoria,fecha_de_publicacion,fecha_adjudicacion,duracion,unidad_de_duracion,precio_base,valor_total_adjudicacion,adjudicado,estado_del_procedimiento,proveedores_invitados,conteo_de_respuestas_a_ofertas,departamento_proveedor,ciudad_proveedor,nombre_del_proveedor
CO1.REQ.3047239,EMPRESA SOCIAL DEL ESTADO IMSALUD,Norte de Santander,Cúcuta,Territorial,Contratación régimen especial,Prestación de servicios,V1.80111700,,,8,Mes(es),22000000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4592219,ALCALDIA MUNICIPIO DE ZIPAQUIRA,Cundinamarca,Zipaquirá,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,7,Mes(es),10500000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7943800,AEROCIVIL,Distrito Capital de Bogotá,No Definido,Nacional,Selección Abreviada de Menor Cuantía,Obra,V1.72103300,,,180,día(s),577103199,0,No,Evaluación,0,0,No Definido,No Definido,No Definido
CO1.REQ.2016461,(Secretaría Distrital de Integración Social),Distrito Capital de Bogotá,No Definido,Territorial,Contratación directa,Prestación de servicios,V1.80111500,,,240,día(s),26072000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6615293,CONCEJO MUNICIPAL DE PEREIRA,Risaralda,Pereira,Territorial,Contratación directa,Prestación de servicios,V1.83112200,,,3,Mes(es),4500000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3423470,MUNICIPIO DE PRADERA,Valle del Cauca,Pradera,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,90,día(s),8800000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6412869,FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA URBANA DISTRITAL DE CARTAGENA DE INDIAS,Bolívar,No Definido,Territorial,Selección Abreviada de Menor Cuantía,Prestación de servicios,V1.72102100,,,7,Mes(es),134209219,0,No,Evaluación,0,0,No Definido,No Definido,No Definido
CO1.REQ.3723247,ALCALDIA DE HONDA,Tolima,Honda,Territorial,Mínima cuantía,Suministros,V1.52121500,,2022-12-19T00:00:00.000,0,día(s),28000000,28000000,Si,Seleccionado,0,0,Tolima,Mariquita,PROYECTOS Y SOLUCIONES INTEGRALES PARA EL DESARROLLO
CO1.REQ.3044308,INSTITUTO DE ATENCION A LA FAMILIA,Caldas,Manizales,Territorial,Mínima cuantía,Prestación de servicios,V1.86101714,,2022-06-23T00:00:00.000,1,Mes(es),1550000,1550000,Si,Seleccionado,0,0,Distrito Capital de Bogotá,Bogotá,Fundacion Natalia Ponce de León
CO1.REQ.3899404,MUNICIPIO DE BARBOSA,Antioquia,Barbosa,Territorial,Contratación directa,Prestación de servicios,V1.80121610,,,90,día(s),9900000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4535475,DIRECCION DE ANTINARCOTICOS,Distrito Capital de Bogotá,Bogotá,Nacional,Selección abreviada subasta inversa,Suministros,V1.47132102,,2023-08-03T00:00:00.000,8,Mes(es),500000000,300000000,Si,Seleccionado,0,0,No Definido,No Definido,HELIODORO HERNANDEZ SANCHEZ
CO1.REQ.7755822,CONCEJO DISTRITAL DE BARRANQUILLA,Atlántico,Barranquilla,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,210,día(s),26600000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6735407,INSTITUCIÓN EDUCATIVA TÉCNICA MANUELA BELTRAN,Atlántico,Soledad,Territorial,Contratación régimen especial,Suministros,V1.39121700,,,3,Mes(es),11617260,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.846325,CENTRAL ADMINISTRATIVA Y CONTABLE - CENAC - FLORENCIA,Caquetá,Florencia,Nacional,Selección Abreviada de Menor Cuantía,Suministros,V1.51191910,,2019-05-13T00:00:00.000,210,día(s),424319287,180857837,Si,Seleccionado,3,0,Huila,Neiva,VETERINARIA AGROESPERANZA LTDA
CO1.REQ.10790289,MUNICIPIO EL RETIRO,Antioquia,Retiro,Territorial,Contratación Directa (con ofertas),Otro,V1.83101506,,2026-08-05T00:00:00.000,0,día(s),297071549,297071549,Si,Seleccionado,1,0,Antioquia,Retiro,FONDO DE DESARROLLO SOCIAL DE EL RETIRO
CO1.REQ.7663400,ESE HOSPITAL SAN JOSE,Risaralda,No Definido,Territorial,Contratación régimen especial,Prestación de servicios,V1.80111600,,,30,día(s),356510072,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9752740,CONCEJO MUNICIPAL DE MEDELLIN,Antioquia,Medellín,Territorial,Contratación directa,Prestación de servicios,V1.80111601,,,163,día(s),38874060,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4086918,CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Cundinamarca,Mosquera,Territorial,Contratación directa,Prestación de servicios,V1.80111701,,,105,día(s),6300000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3460764,SOCIEDAD TELEVISION DEL PACIFICO LTDA,No Definido,No Definido,Territorial,Contratación régimen especial,Prestación de servicios,V1.83111800,,,3,Mes(es),23212950,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9717119,MUNICIPIO DE CAPARRAPI*,Cundinamarca,Caparrapí,Territorial,Contratación directa,Prestación de servicios,V1.80111620,,,5,Mes(es),12500000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7558422,ALCALDIA DE GUATEQUE,Boyacá,Guateque,Territorial,Contratación directa,Prestación de servicios,V1.76121500,,,216,día(s),14880000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.5904714,MUNICIPIO DE MAICAO,La Guajira,Maicao,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,294,día(s),39200000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4594160,ALCALDÍA DEL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS,Bolívar,Cartagena,Territorial,Contratación directa,Prestación de servicios,V1.80111620,,,6,Mes(es),24000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3711059,DEPARTAMENTO DE SANTANDER,Santander,Bucaramanga,Territorial,Licitación pública,Prestación de servicios,V1.82101501,,2022-12-29T00:00:00.000,5,Mes(es),3000000000,2999590000,Si,Seleccionado,0,0,No Definido,No Definido,UNION TEMPORAL SANTANDER SE ACTIVA 2023
CO1.REQ.4517205,INSTITITUCION EDUCATIVA TÉCNICA DEPARTAMENTAL SAN JOSE,Magdalena,Sitionuevo,Territorial,Contratación régimen especial,Suministros,V1.70171705,,,10,día(s),4687500,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.10997054,ALCALDÍA DEL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS,Bolívar,Cartagena,Territorial,Contratación directa,Prestación de servicios,V1.80111620,,,3,Mes(es),16500000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3267113,ALCALDÍA MUNICIPIO DE PALMIRA,Valle del Cauca,Palmira,Territorial,Mínima cuantía,Compraventa,V1.31201600,,2022-09-07T00:00:00.000,2,Mes(es),60000000,56882199,Si,Seleccionado,0,0,Valle del Cauca,Palmira,SERVICIOS TECNICOS CADAJE SAS
CO1.REQ.4619112,Universidad Surcolombiana,Huila,Neiva,Nacional,Contratación régimen especial,Prestación de servicios,V1.80111600,,,0,día(s),2480000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8595761,ESCUELA DE POLICIA DE PROVINCIA DE SUMAPAZ INTENDENTE MARITZA BONILLA RUIZ,Cundinamarca,Fusagasugá,Nacional,Contratación Directa (con ofertas),Otro,V1.80131502,,2025-08-19T00:00:00.000,12,Mes(es),7920000,7920000,Si,Seleccionado,1,0,No Definido,No Definido,karen rocio cardoso diaz
CO1.REQ.2577691,SUPERVIGILANCIA - MD,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación directa,Prestación de servicios,V1.80111701,,,6,Mes(es),30000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3061209,JEFATURA SALUD FUERZA AEREA,Distrito Capital de Bogotá,Bogotá,Nacional,Mínima cuantía,Prestación de servicios,V1.85161501,,2022-07-14T00:00:00.000,183,día(s),71047630,15828256,Si,Seleccionado,0,0,No Definido,No Definido,G BARCO SA
CO1.REQ.10680281,MUNICIPIO DE EL BAGRE,Antioquia,El Bagre,Territorial,Contratación directa,Prestación de servicios,V1.80111620,,,5,Mes(es),17325000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.2326631,DIRECCION DE PROTECCION Y SERVICIOS ESPECIALES,Distrito Capital de Bogotá,Bogotá,Nacional,Selección Abreviada de Menor Cuantía,Compraventa,V1.25101900,,2021-10-19T00:00:00.000,60,día(s),1999947830,293600000,Si,Seleccionado,4,0,Distrito Capital de Bogotá,No Definido,7M GROUP SA
CO1.REQ.8170299,CENTRO EDUCATIVO NUEVA ERA,Sucre,Santiago De Tolú,Nacional,Contratación régimen especial,Suministros,V1.71123005,,,2,día(s),7521000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4899964,UNIVERSIDAD DE LA AMAZONIA (Entidad),Caquetá,Florencia,Nacional,Contratación régimen especial,Decreto 092 de 2017,V1.41116004,,,30,día(s),6111840,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3775092,INSTITUTO DEPARTAMENTAL DE SALUD DE NARIÑO,Nariño,No Definido,Territorial,Selección abreviada subasta inversa,Suministros,V1.12131700,,2023-01-31T00:00:00.000,60,día(s),133482208,1129716,Si,Seleccionado,0,0,No Definido,No Definido,JAVIER ROSERO ROSERO
CO1.REQ.1120328,SENA REGIONAL NORTE DE SANTANDER Grupo de Apoyo Administrativo Mixto,Norte de Santander,Cúcuta,Nacional,Contratación directa,Prestación de servicios,V1.80111600,,,300,día(s),29515680,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6734577,MUNICIPIO DE NEIVA,Huila,Neiva,Territorial,Contratación directa,Prestación de servicios,V1.80111620,,,4,Mes(es),10000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9993693,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL),Distrito Capital de Bogotá,No Definido,Territorial,Contratación régimen especial,Prestación de servicios,V1.85101600,,,120,día(s),14959608,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7575757,MUNICIPIO DE ANZA,Antioquia,Anza,Territorial,Contratación directa,Prestación de servicios,V1.80161501,,,4,Mes(es),8800000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7479587,DIRECCION DE SANIDAD EJERCITO DISPENSARIO MÉDICO SUROCCIDENTE,Distrito Capital de Bogotá,No Definido,Nacional,Contratación directa,Prestación de servicios,V1.93141808,,,12,Mes(es),35277000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.906934,MINISTERIO DE EDUCACION NACIONAL (MEN),Distrito Capital de Bogotá,Bogotá,Nacional,Contratación directa,Prestación de servicios,V1.80111620,,,174,día(s),53560002,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.2177041,INCIVA,Valle del Cauca,No Definido,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,71,día(s),4500000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
