id_del_proceso,entidad,departamento_entidad,ciudad_entidad,ordenentidad,modalidad_de_contratacion,tipo_de_contrato,codigo_principal_de_categoria,fecha_de_publicacion,fecha_adjudicacion,duracion,unidad_de_duracion,precio_base,valor_total_adjudicacion,adjudicado,estado_del_procedimiento,proveedores_invitados,conteo_de_respuestas_a_ofertas,departamento_proveedor,ciudad_proveedor,nombre_del_proveedor
CO1.REQ.6529005,GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD,Valle del Cauca,Cali,Territorial,Mínima cuantía,Prestación de servicios,V1.81141504,,2024-08-05T00:00:00.000,6,Mes(es),95111179,6106931,Si,Seleccionado,0,0,Antioquia,Envigado,LABORATORIO QTEST S.A.S
CO1.REQ.6447117,HOSPITAL SAN JUAN DE DIOS DE HONDA ESE,Tolima,Honda,Territorial,Contratación régimen especial,Prestación de servicios,V1.85121600,,,6,Mes(es),56925000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6940239,ESE METROSALUD,Antioquia,Medellín,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.85101508,,,91,día(s),9128886,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.2245168,ALCALDIA LOCAL DE PUENTE ARANDA-FONDO DE DESARROLLO LOCAL,Distrito Capital de Bogotá,No Definido,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,4,Mes(es),24000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.10654682,HOSPITAL FRANCISCO DE PAULA SANTANDER EMPRESA SOCIAL DEL ESTADO,Cauca,Santander De Quilichao,Territorial,Contratación régimen especial,Prestación de servicios,V1.80131502,,,62,día(s),5049600,0,No,Evaluación,0,0,No Definido,No Definido,No Definido
CO1.REQ.8104912,GOBERNACION DE CALDAS,Caldas,No Definido,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.93141702,,,30,día(s),156400000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6256619,INSITUCION EDUCATIVA BLANCA  DURAN DE PADILLA,Santander,Barrancabermeja,Nacional,Contratación régimen especial,Prestación de servicios,V1.81112307,,,7,día(s),15000000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4605891,EMPRESA COLOMBIANA DE PETROLEOS,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación régimen especial,Otro,V1.20122704,,,273,día(s),30162127,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.1242415,DEPARTAMENTO DE ANTIOQUIA//,Antioquia,Medellín,Territorial,Concurso de méritos abierto,Interventoría,V1.81101500,,2020-06-23T00:00:00.000,20,Mes(es),1636516464,1636502310,Si,Seleccionado,0,0,No Definido,No Definido,CONSORCIO VIA BARBOSA
CO1.REQ.8166683,ICBF REGIONAL CORDOBA,Córdoba,Montería,Nacional,Contratación directa,Prestación de servicios,V1.80111600,,,183,día(s),27140108,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9890557,ALCMARIA LA BAJA,Bolívar,María La Baja,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,6,Mes(es),10500000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.1790676,DIRECCION DE ANTINARCOTICOS,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación directa,Prestación de servicios,V1.80111600,,,7,Mes(es),20650000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.2668583,CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA - CAR.,Distrito Capital de Bogotá,No Definido,Corporación Autónoma,Contratación directa,Prestación de servicios,V1.80111600,,,11,Mes(es),74954880,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7320120,EMPRESA SOCIAL DEL ESTADO HOSPITAL DIVINO NIÑO,Huila,Rivera,Territorial,Contratación régimen especial,Prestación de servicios,V1.85101601,,,1,Mes(es),1848000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.5125292,ESE HOSPITAL MANUEL URIBE ANGEL,Antioquia,No Definido,Territorial,Contratación régimen especial,Suministros,V1.42295134,,,88,día(s),1556800,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.10054535,iNSTITUTO DE DEPORTE Y RECREACION DEL META - IDERMETA,Meta,Villavicencio,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,180,día(s),13440000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8824988,EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL DE ALGARROBO,Magdalena,Algarrobo,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.85101600,,,2,día(s),2000000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9597500,MUNICIPIO DE SOACHA..,Cundinamarca,Soacha,Territorial,Contratación directa,Prestación de servicios,V1.80111504,,,4,Mes(es),15656000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.10000188,DIRECCION GENERAL MARITIMA - SUBDIRECCION ADMINISTRATIVA Y FINANCIERA - SUBAFIN,Distrito Capital de Bogotá,No Definido,Nacional,Contratación directa,Prestación de servicios,V1.80111600,,,179,día(s),14499000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.1635518,SENA REGIONAL ATLANTICO,Atlántico,Barranquilla,Nacional,Mínima cuantía,Compraventa,V1.53111600,,2020-12-04T00:00:00.000,15,día(s),66837640,66670235,Si,Seleccionado,0,0,No Definido,No Definido,PERMODA LTDA
CO1.REQ.2347368,GOBERNACION DEL HUILA*,Huila,No Definido,Territorial,Contratación directa,Prestación de servicios,V1.80111620,,,4,Mes(es),4000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.10491531,ALCALDIA MUNICIPIO DE OIBA,Santander,Oiba,Territorial,Mínima cuantía,Prestación de servicios,V1.80141607,,2026-06-11T00:00:00.000,5,día(s),32300000,32300000,Si,Seleccionado,0,0,Santander,Socorro,ASOCIACION BIOSFERA SOLUCIONES
CO1.REQ.6377946,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE GESTION JURIDICA PUBLICA,Valle del Cauca,Cali,Territorial,Contratación directa,Prestación de servicios,V1.80111501,,,141,día(s),26155000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9406823,GOBIERNO DEPARTAMENTAL,Tolima,No Definido,Territorial,Contratación directa,Prestación de servicios,V1.80111701,,,90,día(s),9000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8340792,MUNICIPIO DE QUIMBAYA,Quindío,Quimbaya,Territorial,Contratación directa,Prestación de servicios,V1.80111701,,,120,día(s),8800000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.1844027,MUNICIPIO DE PEREIRA- OFICIAL,Risaralda,Pereira,Territorial,Contratación directa,Prestación de servicios,V1.80111701,,,180,día(s),15444000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8203289,MUNICIPIO DE PRADERA,Valle del Cauca,Pradera,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,121,día(s),14000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9450411,INSTITUCIÓN EDUCATIVA HERACLIO MENA PADILLA,Antioquia,Apartadó,Territorial,Contratación régimen especial,Prestación de servicios,V1.72103300,,,10,día(s),17064723,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6298031,ESE HOSPITAL UNIVERSITARIO JULIO MENDEZ BARRENECHE,Magdalena,Santa Marta,Territorial,Contratación régimen especial,Prestación de servicios,V1.85121600,,,1,Mes(es),67000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6185330,BANCO DE LA REPUBLICA,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación régimen especial,Prestación de servicios,V1.93141702,,,10,Hora(s),961000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.5663751,ALCALDIA MUNICIPIO DE ZIPAQUIRA,Cundinamarca,Zipaquirá,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,8,Mes(es),28464406,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4430434,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,Medellín,Territorial,Contratación régimen especial,Suministros,V1.53121705,,,0,día(s),1715000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8541357,ALCALDÍA MUNICIPAL DE TOTA,Boyacá,Tota,Territorial,Contratación directa,Prestación de servicios,V1.80111620,,,165,día(s),12000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.543606,LICEOS DEL  EJERCITO,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación directa,Prestación de servicios,V1.86121503,,,1,Mes(es),2354000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.973078,INVIAS,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación pública Obra Publica,Obra,V1.72141003,,2019-11-19T00:00:00.000,33,Mes(es),30276233849,1190129459,Si,Seleccionado,0,0,No Definido,No Definido,CONSORCIO SUSACON 2022
CO1.REQ.7511175,SENA REGIONAL SUCRE,Sucre,Sincelejo,Nacional,Contratación directa,Prestación de servicios,V1.80111600,,,345,día(s),17708655,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9024047,ARTESANIAS DE COLOMBIA S.A,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación régimen especial,Decreto 092 de 2017,V1.80101600,,,89,día(s),17800000,0,No,Evaluación,0,0,No Definido,No Definido,No Definido
CO1.REQ.3607723,EMPRESA SOCIAL DEL ESTADO CAMU SANTA TERESITA,Córdoba,Lorica,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.80101500,,,2,Mes(es),4600000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9810212,ALCALDIA MUNICIPIO DE VILLAVICENCIO,Meta,Villavicencio,Territorial,Contratación directa,Prestación de servicios,V1.80111701,,,5,Mes(es),15000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.5367967,HOSPITAL DEPARTAMENTAL SAN JUAN DE DIOS DE RIOSUCIO - CALDAS E.S.E,Caldas,Riosucio,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.85101601,,,1,Mes(es),2688000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.472408,CÁRCEL Y PENITENCIARIA DE MEDIA SEGURIDAD DE NEIVA,Huila,Rivera,Nacional,Mínima cuantía,Compraventa,V1.53101602,,2018-07-04T00:00:00.000,87,día(s),2147992,1560700,Si,Seleccionado,0,0,Valle del Cauca,Cali,arte y diseño interior  e.u
CO1.REQ.8169125,ALCALDÍA DE POPAYÁN,Cauca,Popayán,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,4,Mes(es),9200000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.2178715,DEPARTAMENTO ADMINISTRATIVO DE GESTION DEL MEDIO AMBIENTE DAGMA,Valle del Cauca,Cali,Territorial,Contratación directa,Prestación de servicios,V1.80111501,,,165,día(s),11808000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8087968,SENA REGIONAL SUCRE,Sucre,Sincelejo,Nacional,Contratación directa,Prestación de servicios,V1.80111600,,,180,día(s),32001600,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7156625,INSTITUCION EDUCATIVA BACHILLERATO TECNICO AGRICOLA DE JAMBALO,Cauca,Jambaló,Territorial,Contratación régimen especial,Suministros,V1.72101500,,,10,día(s),2300000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.2233170,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.**,Distrito Capital de Bogotá,Bogotá,Territorial,Contratación régimen especial (con ofertas),Suministros,V1.42181800,,2021-09-14T00:00:00.000,2,Mes(es),800000000,80000000,Si,Seleccionado,0,0,Distrito Capital de Bogotá,No Definido,LH S.A.S
CO1.REQ.6798075,HOSPITAL SAN VICENTE DE PAUL DE FOMEQUE,Cundinamarca,Fomeque,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.80111612,,,90,día(s),5146425,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3926768,Empresa de Desarrollo Urbano de La Ceja,Antioquia,La Ceja,Territorial,Contratación régimen especial (con ofertas),Otro,V1.80101600,,,3,Mes(es),326866427,0,No,Abierto,0,0,No Definido,No Definido,No Definido
CO1.REQ.6364566,INSTITUCION EDUCATIVA JUAN BAUTISTA ARNAUD,No Definido,No Definido,Territorial,Contratación régimen especial,Prestación de servicios,V1.81112205,,,184,día(s),1940000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.16902,COLOMBIA COMPRA EFICIENTE,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación Pública Acuerdo Marco de Precios,Acuerdo Marco de Precios,V1.53103000,,2015-12-22T00:00:00.000,2,Año(s),0,197000,Si,Seleccionado,0,0,No Definido,No Definido,UT OCE
CO1.REQ.4209296,ALCALDÍA MUNICIPIO DE BELLO,Antioquia,Bello,Territorial,Contratación directa,Prestación de servicios,V1.80111501,,,7,Mes(es),26950000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7386115,AGUAS DEL ORIENTE ANTIOQUEÑO S.A E.S.P,Antioquia,Retiro,Nacional,Contratación régimen especial,Decreto 092 de 2017,V1.77121701,,,365,día(s),24712990,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7022639,CENTRO DE SALUD SAN JUAN BAUTISTA PUPIALES E.S.E,Nariño,Pupiales,Territorial,Contratación régimen especial,Prestación de servicios,V1.80111600,,,75,día(s),5250000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4189377,E.S.E. HOSPITAL REGIONAL SUR ORIENTAL,Norte de Santander,Chinácota,Territorial,Contratación régimen especial,Suministros,V1.42171600,,,10,Mes(es),1500000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4584534,ESCUELA NORMAL SUPERIOR DE ABEJORRAL,Antioquia,Abejorral,Territorial,Contratación régimen especial,Prestación de servicios,V1.93141701,,,10,día(s),1800000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8244751,INSTITUCION EDUCATIVA SANTA BARBARA,No Definido,No Definido,Territorial,Contratación régimen especial,Prestación de servicios,V1.81161501,,,214,día(s),2400000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.10870278,COLEGIO SAN FRANCISCO DE ASIS IED,Distrito Capital de Bogotá,No Definido,Territorial,Contratación régimen especial,Compraventa,V1.44103103,,,30,día(s),8507500,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6243411,SENA REGIONAL DISTRITO CAPITAL Grupo de Apoyo Administrativo Mixto CSF,Distrito Capital de Bogotá,No Definido,Nacional,Contratación directa,Prestación de servicios,V1.80111601,,,210,día(s),42000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6639685,INSTITUCION EDUCATIVA SAN MIGUEL,No Definido,No Definido,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.84131607,,,7,día(s),2472502,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6638155,DANE - TERRITORIAL CENTRO ORIENTE,Santander,Bucaramanga,Nacional,Contratación directa,Prestación de servicios,V1.80111500,,,30,día(s),2157600,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4000045,Institución Universitaria Pascual Bravo COMPRADOR,Antioquia,Medellín,Nacional,Contratación directa,Prestación de servicios,V1.80111600,,,19,día(s),3610000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9605092,ALCALDIA MUNICIPIO DE CALARCA,Quindío,Calarca,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,120,día(s),9920000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.5252760,POLICIA METROPOLITANA SANTIAGO DE CALI,Valle del Cauca,Cali,Nacional,Mínima cuantía,Prestación de servicios,V1.76111501,,2023-12-10T00:00:00.000,7,Mes(es),27300000,20930000,Si,Seleccionado,0,0,Distrito Capital de Bogotá,No Definido,POOL SECURITY SOLUTION SAS
CO1.REQ.2559628,SECRETARIA DISTRITAL DEL HABITAT-,Distrito Capital de Bogotá,No Definido,Territorial,Contratación directa,Prestación de servicios,V1.80111701,,,11,Mes(es),82258000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
